,*Warn,CurrentScore,Division,OverallPlace,PlayTime,ScoredImages,Server2008_state_gsms-Found,Server2008_state_gsms-Penalties,Server2008_state_gsms-Remaining,Server2008_state_gsms-Score,Server2008_state_gsms-Time,Server2008_state_gsms-Warn,State,StatePlace,TeamName,TeamNumber,Tier,Ubuntu14_state_sms-Found,Ubuntu14_state_sms-Penalties,Ubuntu14_state_sms-Remaining,Ubuntu14_state_sms-Score,Ubuntu14_state_sms-Time,Ubuntu14_state_sms-Warn,Windows10_state_sms-Found,Windows10_state_sms-Penalties,Windows10_state_sms-Remaining,Windows10_state_sms-Score,Windows10_state_sms-Time,Windows10_state_sms-Warn
379,,68.0,Middle School,379.0,04:53,3,11,0,27,22, 1:49,,RI,13.0,,10-5299,Middle School,7,0,27,19, 1:20,,13,0,25,27, 3:30,
380,,68.0,Middle School,380.0,05:58,3,12,0,26,35, 5:54,,OK,3.0,,10-0209,Middle School,3,0,31,6, 5:55,,13,0,25,27, 5:58,
381,,68.0,Middle School,381.0,05:41,3,6,0,32,29, 5:40,,OH,8.0,,10-5285,Middle School,7,0,27,14, 5:05,,11,0,27,25, 5:37,
382,,68.0,Middle School,382.0,05:50,3,7,0,31,15, 5:27,,OK,4.0,,10-0210,Middle School,8,0,26,17, 5:35,,18,0,20,36, 5:50,
383,T,68.0,Middle School,383.0,06:02,3,0,0,38,0, 6:02,T,CA,79.0,,10-4564,Middle School,10,0,24,24, 5:35,,17,0,21,44, 5:39,
384,,67.0,Middle School,384.0,05:44,3,11,0,27,24, 5:42,,AZ,9.0,,10-2976,Middle School,9,0,25,27, 5:44,,10,0,28,16, 5:42,
385,,67.0,Middle School,385.0,05:38,3,8,0,30,21, 1:51,,CAN,6.0,,10-2618,Middle School,8,1,26,18, 2:00,,11,0,27,28, 5:17,
386,,67.0,Middle School,386.0,05:51,3,10,0,28,20, 5:49,,CO,32.0,,10-1603,Middle School,9,0,25,22, 5:51,,13,0,25,25, 5:47,
387,,67.0,Middle School,387.0,05:48,3,8,0,30,13, 5:47,,SC,13.0,,10-0467,Middle School,9,0,25,22, 5:17,,12,0,26,32, 5:32,
388,,66.0,Middle School,388.0,04:57,3,5,0,33,11, 4:50,,AL,18.0,,10-0260,Middle School,5,0,29,17, 4:44,,13,0,25,38, 4:50,
389,,66.0,Middle School,389.0,05:51,3,9,0,29,23, 5:48,,HI,17.0,,10-4964,Middle School,13,1,21,27, 5:48,,12,2,26,16, 5:51,
390,,66.0,Middle School,390.0,05:57,3,8,0,30,26, 5:55,,AL,19.0,,10-0979,Middle School,6,0,28,15, 5:46,,14,0,24,25, 5:46,
391,,65.0,Middle School,391.0,03:26,3,7,0,31,25, 2:55,,CA,80.0,,10-4871,Middle School,5,0,29,10, 3:26,,9,0,29,30, 2:56,
392,,65.0,Middle School,392.0,05:16,3,14,0,24,28, 5:15,,CA,81.0,,10-4598,Middle School,8,0,26,18, 2:39,,12,0,26,19, 5:16,
